timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
1026000,0.15415941,0.47125086,0.15195286,0.014726589,32,0,threshold,0.3271281357025818,2.0,False,1.0
1026300,0.7845529,2.3983045,0.39828366,0.074947014,32,0,threshold,0.3271281357025818,2.0,False,1.0
1026600,0.6898004,2.108655,0.38532138,0.06589547,32,0,threshold,0.3271281357025818,2.0,False,1.0
1026900,0.80114144,2.4490142,0.47254542,0.07653169,32,0,threshold,0.3271281357025818,2.0,False,1.0
1027200,0.6955373,2.1261923,0.4346244,0.06644351,32,0,threshold,0.3271281357025818,2.0,False,1.0
1027500,0.6971057,2.1309867,0.46088552,0.066593334,32,0,threshold,0.3271281357025818,2.0,False,1.0
1027800,0.6877694,2.1024466,0.41947746,0.065701455,32,0,threshold,0.3271281357025818,2.0,False,1.0
1028100,0.74402285,2.2744079,0.5862464,0.071075246,32,0,threshold,0.3271281357025818,2.0,False,1.0
1028400,0.8177133,2.499673,0.40923595,0.07811478,32,0,threshold,0.3271281357025818,2.0,False,1.0
1028700,0.7050352,2.1552265,0.5008428,0.06735083,32,0,threshold,0.3271281357025818,2.0,False,1.0
1029000,0.72133857,2.2050643,0.5747213,0.06890826,32,0,threshold,0.3271281357025818,2.0,False,1.0
1029300,0.760477,2.3247068,0.5218452,0.07264709,32,0,threshold,0.3271281357025818,2.0,False,1.0
1029600,0.72739446,2.2235765,0.42551768,0.06948677,32,0,threshold,0.3271281357025818,2.0,False,1.0
1029900,0.7197419,2.2001834,0.47221756,0.06875573,32,0,threshold,0.3271281357025818,2.0,False,1.0
1030200,0.8656171,2.64611,0.44987932,0.08269094,32,0,threshold,0.3271281357025818,2.0,False,1.0
1030500,0.6783721,2.0737197,0.35721633,0.06480374,32,0,threshold,0.3271281357025818,2.0,False,1.0
1030800,0.736979,2.2528756,0.36419216,0.07040236,32,0,threshold,0.3271281357025818,2.0,False,1.0
1031100,0.6656828,2.0349298,0.41054907,0.063591555,32,0,threshold,0.3271281357025818,2.0,False,1.0
1031400,0.6892536,2.1069837,0.36604184,0.06584324,32,0,threshold,0.3271281357025818,2.0,False,1.0
1031700,0.76684636,2.3441772,0.48387563,0.07325554,32,0,threshold,0.3271281357025818,2.0,False,1.0
1032000,0.74428576,2.2752116,0.4285225,0.07110036,32,0,threshold,0.3271281357025818,2.0,False,1.0
1032300,0.7295102,2.2300441,0.49285924,0.06968888,32,0,threshold,0.3271281357025818,2.0,False,1.0
1032600,0.8082684,2.4708006,0.5497655,0.07721252,32,0,threshold,0.3271281357025818,2.0,False,1.0
1032900,0.8103396,2.477132,0.50589424,0.07741038,32,0,threshold,0.3271281357025818,2.0,False,1.0
1033200,0.7075721,2.1629815,0.5392337,0.06759317,32,0,threshold,0.3271281357025818,2.0,False,1.0
1033500,0.7427467,2.2705069,0.42484176,0.07095334,32,0,threshold,0.3271281357025818,2.0,False,1.0
1033800,0.90075874,2.7535348,0.51037544,0.08604796,32,0,threshold,0.3271281357025818,2.0,False,1.0
1034100,1.7602518,3.3809245,0.9914628,0.10565389,32,1,threshold,0.3271281357025818,2.0,False,1.0
1034400,1.7626312,3.388198,0.99158514,0.105881184,32,1,threshold,0.3271281357025818,2.0,False,1.0
1034700,1.7580134,3.3740814,0.99110985,0.10544004,32,1,threshold,0.3271281357025818,2.0,False,1.0
1035000,0.9664622,2.954384,0.7086315,0.0923245,32,0,threshold,0.3271281357025818,2.0,False,1.0
1035300,0.76977724,2.3531368,0.511088,0.073535524,32,0,threshold,0.3271281357025818,2.0,False,1.0
1035600,0.90371454,2.7625704,0.69615334,0.086330324,32,0,threshold,0.3271281357025818,2.0,False,1.0
1035900,0.9550911,2.9196239,0.68294305,0.091238245,32,0,threshold,0.3271281357025818,2.0,False,1.0
1036200,0.94509876,2.8890781,0.57435423,0.09028369,32,0,threshold,0.3271281357025818,2.0,False,1.0
1036500,0.7467883,2.2828617,0.51726526,0.07133943,32,0,threshold,0.3271281357025818,2.0,False,1.0
1036800,0.7508502,2.2952785,0.5603909,0.071727455,32,0,threshold,0.3271281357025818,2.0,False,1.0
1037100,0.6851573,2.0944614,0.45578948,0.06545192,32,0,threshold,0.3271281357025818,2.0,False,1.0
1037400,0.7476343,2.2854478,0.5800534,0.071420245,32,0,threshold,0.3271281357025818,2.0,False,1.0
1037700,0.78744894,2.4071574,0.6364062,0.07522367,32,0,threshold,0.3271281357025818,2.0,False,1.0
1038000,0.8016999,2.4507213,0.44607478,0.07658504,32,0,threshold,0.3271281357025818,2.0,False,1.0
1038300,0.5762564,1.7615618,0.16142544,0.055048805,32,0,threshold,0.3271281357025818,2.0,False,1.0
1038600,0.57330906,1.7525519,0.21923937,0.054767247,32,0,threshold,0.3271281357025818,2.0,False,1.0
1038900,0.60441464,1.8476387,0.22296654,0.05773871,32,0,threshold,0.3271281357025818,2.0,False,1.0
1039200,0.8557894,2.616068,0.5252577,0.08175212,32,0,threshold,0.3271281357025818,2.0,False,1.0
1039500,0.77459943,2.3678777,0.48326018,0.07399618,32,0,threshold,0.3271281357025818,2.0,False,1.0
1039800,0.610676,1.8667791,0.21051577,0.058336847,32,0,threshold,0.3271281357025818,2.0,False,1.0
1040100,0.8346666,2.5514975,0.6262361,0.079734296,32,0,threshold,0.3271281357025818,2.0,False,1.0
1040400,1.6452571,3.0293965,0.99092054,0.09466864,32,1,threshold,0.3271281357025818,2.0,False,1.0
1040700,1.6183352,2.9470987,0.9692655,0.092096835,32,1,threshold,0.3271281357025818,2.0,False,1.0
