mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
threshold,8,reactive,6,125,1,1,-512.2088867704073
threshold,8,reactive,6,125,2,25,-421.0449046611784
threshold,8,reactive,6,125,3,50,-545.1814626355963
threshold,8,reactive,6,125,4,75,-463.5113219380379
threshold,8,reactive,6,125,5,100,-471.68865617116285
threshold,8,reactive,6,125,6,125,-301.14272646903976
threshold,9,naive,1,1,1,1,-418.12678503990173
threshold,9,naive,2,25,1,1,-593.7115998268127
threshold,9,naive,2,25,2,25,-295.2607424259186
threshold,9,naive,3,50,1,1,-357.099042057991
threshold,9,naive,3,50,2,25,-295.2607424259186
threshold,9,naive,3,50,3,50,-308.88759547472
threshold,9,naive,4,75,1,1,-495.905167222023
threshold,9,naive,4,75,2,25,-295.2607424259186
threshold,9,naive,4,75,3,50,-329.3015407919884
threshold,9,naive,4,75,4,75,-365.4599006175995
threshold,9,naive,5,100,1,1,-336.51363784074783
threshold,9,naive,5,100,2,25,-295.2607424259186
threshold,9,naive,5,100,3,50,-299.341167986393
threshold,9,naive,5,100,4,75,-365.4599006175995
threshold,9,naive,5,100,5,100,-269.65599966049194
threshold,9,naive,6,125,1,1,-763.8934605121613
threshold,9,naive,6,125,2,25,-295.2607424259186
threshold,9,naive,6,125,3,50,-507.95853048563004
threshold,9,naive,6,125,4,75,-365.4599006175995
threshold,9,naive,6,125,5,100,-383.5069237947464
threshold,9,naive,6,125,6,125,-107.96211457252502
threshold,9,replay,1,1,1,1,-418.12678503990173
threshold,9,replay,2,25,1,1,-303.24604856967926
threshold,9,replay,2,25,2,25,-295.2607424259186
threshold,9,replay,3,50,1,1,-219.60120260715485
threshold,9,replay,3,50,2,25,-295.2607424259186
threshold,9,replay,3,50,3,50,-226.69670236110687
threshold,9,replay,4,75,1,1,-160.7011530995369
threshold,9,replay,4,75,2,25,-295.2607424259186
threshold,9,replay,4,75,3,50,-221.6643911600113
threshold,9,replay,4,75,4,75,-359.0627374649048
threshold,9,replay,5,100,1,1,-169.8095600605011
threshold,9,replay,5,100,2,25,-295.2607424259186
threshold,9,replay,5,100,3,50,-221.6643911600113
threshold,9,replay,5,100,4,75,-359.0627374649048
threshold,9,replay,5,100,5,100,-272.447003364563
threshold,9,replay,6,125,1,1,-176.62411457300186
threshold,9,replay,6,125,2,25,-295.2607424259186
threshold,9,replay,6,125,3,50,-221.6643911600113
threshold,9,replay,6,125,4,75,-359.0627374649048
threshold,9,replay,6,125,5,100,-272.447003364563
threshold,9,replay,6,125,6,125,-150.3310633301735
threshold,9,reactive,1,1,1,1,-512.2088867704073
threshold,9,reactive,2,25,1,1,-512.2088867704073
threshold,9,reactive,2,25,2,25,-421.0449046611784
threshold,9,reactive,3,50,1,1,-512.2088867704073
threshold,9,reactive,3,50,2,25,-421.0449046611784
threshold,9,reactive,3,50,3,50,-545.1814626355963
threshold,9,reactive,4,75,1,1,-512.2088867704073
threshold,9,reactive,4,75,2,25,-421.0449046611784
threshold,9,reactive,4,75,3,50,-545.1814626355963
threshold,9,reactive,4,75,4,75,-463.5113219380379
threshold,9,reactive,5,100,1,1,-512.2088867704073
threshold,9,reactive,5,100,2,25,-421.0449046611784
threshold,9,reactive,5,100,3,50,-545.1814626355963
threshold,9,reactive,5,100,4,75,-463.5113219380379
threshold,9,reactive,5,100,5,100,-471.68865617116285
threshold,9,reactive,6,125,1,1,-512.2088867704073
threshold,9,reactive,6,125,2,25,-421.0449046611784
threshold,9,reactive,6,125,3,50,-545.1814626355963
threshold,9,reactive,6,125,4,75,-463.5113219380379
threshold,9,reactive,6,125,5,100,-471.68865617116285
threshold,9,reactive,6,125,6,125,-301.14272646903976
threshold,10,naive,1,1,1,1,-291.3915390968323
threshold,10,naive,2,25,1,1,-336.72509491443634
threshold,10,naive,2,25,2,25,-295.2607424259186
threshold,10,naive,3,50,1,1,-251.72648864984512
threshold,10,naive,3,50,2,25,-295.2607424259186
threshold,10,naive,3,50,3,50,-278.2559671998024
threshold,10,naive,4,75,1,1,-354.3518353700638
threshold,10,naive,4,75,2,25,-295.2607424259186
threshold,10,naive,4,75,3,50,-262.10709404945374
threshold,10,naive,4,75,4,75,-359.0627374649048
threshold,10,naive,5,100,1,1,-309.3575742840767
threshold,10,naive,5,100,2,25,-295.2607424259186
threshold,10,naive,5,100,3,50,-290.43646389245987
threshold,10,naive,5,100,4,75,-359.0627374649048
threshold,10,naive,5,100,5,100,-269.65599966049194
threshold,10,naive,6,125,1,1,-763.8934605121613
threshold,10,naive,6,125,2,25,-295.2607424259186
threshold,10,naive,6,125,3,50,-308.88759547472
threshold,10,naive,6,125,4,75,-365.4599006175995
threshold,10,naive,6,125,5,100,-269.65599966049194
threshold,10,naive,6,125,6,125,-107.96211457252502
threshold,10,replay,1,1,1,1,-291.3915390968323
threshold,10,replay,2,25,1,1,-262.1058864593506
threshold,10,replay,2,25,2,25,-295.2607424259186
threshold,10,replay,3,50,1,1,-144.12211072444916
threshold,10,replay,3,50,2,25,-295.2607424259186
threshold,10,replay,3,50,3,50,-237.9928628206253
