timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
503100,0.58198684,1.7790792,0.5529867,0.055596225,32,0,threshold,0.3271281357025818,2.0,False,1.0
503400,0.554668,1.6955681,0.5226456,0.052986503,32,0,threshold,0.3271281357025818,2.0,False,1.0
503700,0.6067811,1.854873,0.5486036,0.05796478,32,0,threshold,0.3271281357025818,2.0,False,1.0
504000,0.590392,1.8047729,0.5687695,0.05639915,32,0,threshold,0.3271281357025818,2.0,False,1.0
504300,0.58498955,1.7882581,0.5496115,0.055883065,32,0,threshold,0.3271281357025818,2.0,False,1.0
504600,0.5519355,1.687215,0.38318443,0.052725468,32,0,threshold,0.3271281357025818,2.0,False,1.0
504900,0.5556825,1.6986692,0.5502225,0.053083412,32,0,threshold,0.3271281357025818,2.0,False,1.0
505200,0.51453763,1.5728933,0.41474178,0.049152914,32,0,threshold,0.3271281357025818,2.0,False,1.0
505500,0.6461806,1.9753134,0.50599146,0.061728545,32,0,threshold,0.3271281357025818,2.0,False,1.0
505800,0.65123576,1.9907665,0.5723053,0.062211454,32,0,threshold,0.3271281357025818,2.0,False,1.0
506100,0.5688545,1.7389348,0.526668,0.05434171,32,0,threshold,0.3271281357025818,2.0,False,1.0
506400,0.6058931,1.8521582,0.5489979,0.057879943,32,0,threshold,0.3271281357025818,2.0,False,1.0
506700,0.6223541,1.902478,0.5079827,0.059452437,32,0,threshold,0.3271281357025818,2.0,False,1.0
507000,0.638614,1.952183,0.469363,0.06100572,32,0,threshold,0.3271281357025818,2.0,False,1.0
507300,0.6872798,2.1009498,0.6040629,0.06565468,32,0,threshold,0.3271281357025818,2.0,False,1.0
507600,0.5437299,1.6621313,0.43453217,0.051941603,32,0,threshold,0.3271281357025818,2.0,False,1.0
507900,0.5780241,1.7669654,0.611168,0.05521767,32,0,threshold,0.3271281357025818,2.0,False,1.0
508200,0.5880805,1.7977068,0.5219935,0.05617834,32,0,threshold,0.3271281357025818,2.0,False,1.0
508500,0.56185186,1.7175283,0.443016,0.05367276,32,0,threshold,0.3271281357025818,2.0,False,1.0
508800,0.68269724,2.0869412,0.6559188,0.065216914,32,0,threshold,0.3271281357025818,2.0,False,1.0
509100,0.6397565,1.9556756,0.4582181,0.061114863,32,0,threshold,0.3271281357025818,2.0,False,1.0
509400,0.59789497,1.8277087,0.5524127,0.057115898,32,0,threshold,0.3271281357025818,2.0,False,1.0
509700,0.6651788,2.033389,0.59231734,0.06354341,32,0,threshold,0.3271281357025818,2.0,False,1.0
510000,0.5401663,1.6512377,0.4607016,0.05160118,32,0,threshold,0.3271281357025818,2.0,False,1.0
510300,0.59827983,1.8288852,0.6077705,0.057152662,32,0,threshold,0.3271281357025818,2.0,False,1.0
510600,0.56678087,1.7325958,0.4614435,0.05414362,32,0,threshold,0.3271281357025818,2.0,False,1.0
510900,0.5783119,1.7678453,0.5007132,0.055245165,32,0,threshold,0.3271281357025818,2.0,False,1.0
511200,0.60522306,1.85011,0.57389843,0.05781594,32,0,threshold,0.3271281357025818,2.0,False,1.0
511500,0.5537228,1.6926786,0.52290976,0.052896205,32,0,threshold,0.3271281357025818,2.0,False,1.0
511800,0.59821355,1.8286827,0.5534579,0.057146333,32,0,threshold,0.3271281357025818,2.0,False,1.0
512100,0.584031,1.7853279,0.61479044,0.055791497,32,0,threshold,0.3271281357025818,2.0,False,1.0
512400,0.5525127,1.6889795,0.53124946,0.05278061,32,0,threshold,0.3271281357025818,2.0,False,1.0
512700,0.6686024,2.0438547,0.5675749,0.06387046,32,0,threshold,0.3271281357025818,2.0,False,1.0
513000,0.6428053,1.9649953,0.6113469,0.061406102,32,0,threshold,0.3271281357025818,2.0,False,1.0
513300,0.5594754,1.7102638,0.4184524,0.053445745,32,0,threshold,0.3271281357025818,2.0,False,1.0
513600,0.7063288,2.1591809,0.5642981,0.0674744,32,0,threshold,0.3271281357025818,2.0,False,1.0
513900,0.6704432,2.0494819,0.627193,0.06404631,32,0,threshold,0.3271281357025818,2.0,False,1.0
514200,0.5962935,1.8228132,0.43444124,0.05696291,32,0,threshold,0.3271281357025818,2.0,False,1.0
514500,0.646276,1.975605,0.59938127,0.061737657,32,0,threshold,0.3271281357025818,2.0,False,1.0
514800,0.6633158,2.027694,0.55282277,0.06336544,32,0,threshold,0.3271281357025818,2.0,False,1.0
515100,0.64623463,1.9754786,0.5836721,0.061733708,32,0,threshold,0.3271281357025818,2.0,False,1.0
515400,0.60201263,1.840296,0.60655236,0.05750925,32,0,threshold,0.3271281357025818,2.0,False,1.0
515700,0.58023804,1.7737333,0.54504603,0.055429164,32,0,threshold,0.3271281357025818,2.0,False,1.0
516000,0.59060335,1.805419,0.65172523,0.056419343,32,0,threshold,0.3271281357025818,2.0,False,1.0
516300,0.6235024,1.9059882,0.56894565,0.05956213,32,0,threshold,0.3271281357025818,2.0,False,1.0
516600,0.57284766,1.7511415,0.6011267,0.054723173,32,0,threshold,0.3271281357025818,2.0,False,1.0
516900,0.57599485,1.7607622,0.5937433,0.05502382,32,0,threshold,0.3271281357025818,2.0,False,1.0
517200,0.562125,1.7183634,0.5105765,0.053698856,32,0,threshold,0.3271281357025818,2.0,False,1.0
517500,0.6486972,1.9830065,0.4940494,0.061968952,32,0,threshold,0.3271281357025818,2.0,False,1.0
517800,0.565397,1.7283657,0.5565183,0.054011427,32,0,threshold,0.3271281357025818,2.0,False,1.0
518100,0.5542869,1.6944029,0.4830505,0.05295009,32,0,threshold,0.3271281357025818,2.0,False,1.0
518400,0.51457274,1.5730006,0.4734064,0.049156267,32,0,threshold,0.3271281357025818,2.0,False,1.0
518700,0.54528034,1.6668707,0.53263205,0.05208971,32,0,threshold,0.3271281357025818,2.0,False,1.0
519000,0.61500704,1.8800187,0.44687107,0.058750585,32,0,threshold,0.3271281357025818,2.0,False,1.0
519300,0.6397996,1.9558072,0.6029431,0.061118975,32,0,threshold,0.3271281357025818,2.0,False,1.0
519600,0.52968794,1.6192062,0.49034974,0.050600193,32,0,threshold,0.3271281357025818,2.0,False,1.0
519900,0.5474488,1.6734996,0.4269886,0.052296862,32,0,threshold,0.3271281357025818,2.0,False,1.0
520200,0.60030437,1.8350741,0.6202918,0.057346065,32,0,threshold,0.3271281357025818,2.0,False,1.0
520500,0.54935026,1.6793122,0.522866,0.052478507,32,0,threshold,0.3271281357025818,2.0,False,1.0
520800,0.58153516,1.7776983,0.59656274,0.05555307,32,0,threshold,0.3271281357025818,2.0,False,1.0
521100,0.6150788,1.880238,0.5907704,0.05875744,32,0,threshold,0.3271281357025818,2.0,False,1.0
521400,0.565573,1.7289035,0.4422759,0.054028235,32,0,threshold,0.3271281357025818,2.0,False,1.0
521700,0.76571685,2.3407245,0.7704262,0.07314764,32,0,threshold,0.3271281357025818,2.0,False,1.0
522000,0.6497793,1.9863144,0.62483716,0.062072325,32,0,threshold,0.3271281357025818,2.0,False,1.0
522300,0.5492495,1.679004,0.54835576,0.052468874,32,0,threshold,0.3271281357025818,2.0,False,1.0
522600,0.5780084,1.7669173,0.62280625,0.055216167,32,0,threshold,0.3271281357025818,2.0,False,1.0
522900,0.5928303,1.8122265,0.540282,0.05663208,32,0,threshold,0.3271281357025818,2.0,False,1.0
523200,0.5639638,1.7239842,0.59446675,0.053874508,32,0,threshold,0.3271281357025818,2.0,False,1.0
523500,0.6517068,1.9922065,0.58865434,0.06225645,32,0,threshold,0.3271281357025818,2.0,False,1.0
523800,0.54771173,1.6743033,0.44781664,0.052321978,32,0,threshold,0.3271281357025818,2.0,False,1.0
