mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
convex,8,reactive,6,125,5,100,-550.881430483858
convex,8,reactive,6,125,6,125,-348.3140161792436
convex,9,naive,1,1,1,1,-281.9760224223137
convex,9,naive,2,25,1,1,-428.80240815877914
convex,9,naive,2,25,2,25,-338.87352126836777
convex,9,naive,3,50,1,1,-930.709127008915
convex,9,naive,3,50,2,25,-338.87352126836777
convex,9,naive,3,50,3,50,-547.7871016860008
convex,9,naive,4,75,1,1,-903.0862780213356
convex,9,naive,4,75,2,25,-338.87352126836777
convex,9,naive,4,75,3,50,-547.7871016860008
convex,9,naive,4,75,4,75,-454.9441941976547
convex,9,naive,5,100,1,1,-876.4481816887856
convex,9,naive,5,100,2,25,-338.87352126836777
convex,9,naive,5,100,3,50,-547.7871016860008
convex,9,naive,5,100,4,75,-454.9441941976547
convex,9,naive,5,100,5,100,-372.09339106082916
convex,9,naive,6,125,1,1,-886.3986302018166
convex,9,naive,6,125,2,25,-338.87352126836777
convex,9,naive,6,125,3,50,-547.7871016860008
convex,9,naive,6,125,4,75,-454.9441941976547
convex,9,naive,6,125,5,100,-372.09339106082916
convex,9,naive,6,125,6,125,-174.82069963216782
convex,9,replay,1,1,1,1,-281.9760224223137
convex,9,replay,2,25,1,1,-289.7095237970352
convex,9,replay,2,25,2,25,-338.87352126836777
convex,9,replay,3,50,1,1,-228.21902114152908
convex,9,replay,3,50,2,25,-338.87352126836777
convex,9,replay,3,50,3,50,-343.9122267961502
convex,9,replay,4,75,1,1,-208.77336883544922
convex,9,replay,4,75,2,25,-338.87352126836777
convex,9,replay,4,75,3,50,-341.4096316099167
convex,9,replay,4,75,4,75,-454.9441941976547
convex,9,replay,5,100,1,1,-232.08646088838577
convex,9,replay,5,100,2,25,-347.7630412578583
convex,9,replay,5,100,3,50,-335.3813407421112
convex,9,replay,5,100,4,75,-454.9441941976547
convex,9,replay,5,100,5,100,-389.18115401268005
convex,9,replay,6,125,1,1,-204.2616050839424
convex,9,replay,6,125,2,25,-347.7630412578583
convex,9,replay,6,125,3,50,-345.79328322410583
convex,9,replay,6,125,4,75,-463.63178181648254
convex,9,replay,6,125,5,100,-391.7270028591156
convex,9,replay,6,125,6,125,-174.50248396396637
convex,9,reactive,1,1,1,1,-552.9429635922113
convex,9,reactive,2,25,1,1,-552.9429635922113
convex,9,reactive,2,25,2,25,-523.9809528559447
convex,9,reactive,3,50,1,1,-552.9429635922113
convex,9,reactive,3,50,2,25,-523.9809528559447
convex,9,reactive,3,50,3,50,-518.1131430032352
convex,9,reactive,4,75,1,1,-552.9429635922113
convex,9,reactive,4,75,2,25,-523.9809528559447
convex,9,reactive,4,75,3,50,-518.1131430032352
convex,9,reactive,4,75,4,75,-558.9565045118336
convex,9,reactive,5,100,1,1,-552.9429635922113
convex,9,reactive,5,100,2,25,-523.9809528559447
convex,9,reactive,5,100,3,50,-518.1131430032352
convex,9,reactive,5,100,4,75,-558.9565045118336
convex,9,reactive,5,100,5,100,-550.881430483858
convex,9,reactive,6,125,1,1,-552.9429635922113
convex,9,reactive,6,125,2,25,-523.9809528559447
convex,9,reactive,6,125,3,50,-518.1131430032352
convex,9,reactive,6,125,4,75,-558.9565045118336
convex,9,reactive,6,125,5,100,-550.881430483858
convex,9,reactive,6,125,6,125,-348.3140161792436
convex,10,naive,1,1,1,1,-646.7406371235847
convex,10,naive,2,25,1,1,-373.9590449333191
convex,10,naive,2,25,2,25,-338.87352126836777
convex,10,naive,3,50,1,1,-457.13865822553635
convex,10,naive,3,50,2,25,-347.7630412578583
convex,10,naive,3,50,3,50,-349.2168089747429
convex,10,naive,4,75,1,1,-650.1638627648354
convex,10,naive,4,75,2,25,-351.4204876422882
convex,10,naive,4,75,3,50,-387.12454146146774
convex,10,naive,4,75,4,75,-457.04539811611176
convex,10,naive,5,100,1,1,-453.4611052274704
convex,10,naive,5,100,2,25,-347.7630412578583
convex,10,naive,5,100,3,50,-349.2168089747429
convex,10,naive,5,100,4,75,-454.9441941976547
convex,10,naive,5,100,5,100,-372.09339106082916
convex,10,naive,6,125,1,1,-646.7406371235847
convex,10,naive,6,125,2,25,-338.87352126836777
convex,10,naive,6,125,3,50,-547.7871016860008
convex,10,naive,6,125,4,75,-454.9441941976547
convex,10,naive,6,125,5,100,-372.09339106082916
convex,10,naive,6,125,6,125,-174.82069963216782
convex,10,replay,1,1,1,1,-646.7406371235847
convex,10,replay,2,25,1,1,-238.81258648633957
convex,10,replay,2,25,2,25,-338.87352126836777
convex,10,replay,3,50,1,1,-226.20833736658096
convex,10,replay,3,50,2,25,-338.87352126836777
convex,10,replay,3,50,3,50,-343.9122267961502
convex,10,replay,4,75,1,1,-217.1570126414299
convex,10,replay,4,75,2,25,-338.87352126836777
convex,10,replay,4,75,3,50,-343.9122267961502
convex,10,replay,4,75,4,75,-471.6839780807495
convex,10,replay,5,100,1,1,-214.72882318496704
convex,10,replay,5,100,2,25,-338.87352126836777
convex,10,replay,5,100,3,50,-340.1344553232193
convex,10,replay,5,100,4,75,-454.9441941976547
convex,10,replay,5,100,5,100,-390.3292193412781
convex,10,replay,6,125,1,1,-224.2922260761261
convex,10,replay,6,125,2,25,-347.7630412578583
convex,10,replay,6,125,3,50,-345.07870876789093
convex,10,replay,6,125,4,75,-454.9441941976547
convex,10,replay,6,125,5,100,-396.68927240371704
convex,10,replay,6,125,6,125,-177.83960926532745
convex,10,reactive,1,1,1,1,-552.9429635922113
convex,10,reactive,2,25,1,1,-552.9429635922113
convex,10,reactive,2,25,2,25,-523.9809528559447
convex,10,reactive,3,50,1,1,-552.9429635922113
convex,10,reactive,3,50,2,25,-523.9809528559447
convex,10,reactive,3,50,3,50,-518.1131430032352
convex,10,reactive,4,75,1,1,-552.9429635922113
convex,10,reactive,4,75,2,25,-523.9809528559447
convex,10,reactive,4,75,3,50,-518.1131430032352
convex,10,reactive,4,75,4,75,-558.9565045118336
convex,10,reactive,5,100,1,1,-552.9429635922113
convex,10,reactive,5,100,2,25,-523.9809528559447
convex,10,reactive,5,100,3,50,-518.1131430032352
convex,10,reactive,5,100,4,75,-558.9565045118336
convex,10,reactive,5,100,5,100,-550.881430483858
convex,10,reactive,6,125,1,1,-552.9429635922113
convex,10,reactive,6,125,2,25,-523.9809528559447
convex,10,reactive,6,125,3,50,-518.1131430032352
convex,10,reactive,6,125,4,75,-558.9565045118336
convex,10,reactive,6,125,5,100,-550.881430483858
convex,10,reactive,6,125,6,125,-348.3140161792436
convex,11,naive,1,1,1,1,-284.8123354315758
convex,11,naive,2,25,1,1,-336.365154504776
convex,11,naive,2,25,2,25,-338.87352126836777
convex,11,naive,3,50,1,1,-446.7144256234169
convex,11,naive,3,50,2,25,-338.87352126836777
convex,11,naive,3,50,3,50,-349.2168089747429
convex,11,naive,4,75,1,1,-443.7991946339607
convex,11,naive,4,75,2,25,-338.87352126836777
convex,11,naive,4,75,3,50,-362.51384299993515
convex,11,naive,4,75,4,75,-454.9441941976547
convex,11,naive,5,100,1,1,-492.70273691415787
convex,11,naive,5,100,2,25,-338.87352126836777
convex,11,naive,5,100,3,50,-528.381689965725
convex,11,naive,5,100,4,75,-454.9441941976547
convex,11,naive,5,100,5,100,-372.09339106082916
convex,11,naive,6,125,1,1,-475.32189667224884
