timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
1026000,0.11410899,0.47125086,0.15195286,0.014726589,32,0,convex,0.6885896716673517,2.0,False,1.0
1026300,0.61557555,2.3983045,0.39828366,0.074947014,32,0,convex,0.6885896716673517,2.0,False,1.0
1026600,0.49887958,2.108655,0.38532138,0.06589547,32,0,convex,0.6885896716673517,2.0,False,1.0
1026900,0.6958987,2.4490142,0.47254542,0.07653169,32,0,convex,0.6885896716673517,2.0,False,1.0
1027200,0.5231757,2.1261923,0.4346244,0.06644351,32,0,convex,0.6885896716673517,2.0,False,1.0
1027500,0.5377018,2.1309867,0.46088552,0.066593334,32,0,convex,0.6885896716673517,2.0,False,1.0
1027800,0.51031053,2.1024466,0.41947746,0.065701455,32,0,convex,0.6885896716673517,2.0,False,1.0
1028100,0.6357845,2.2744079,0.5862464,0.071075246,32,0,convex,0.6885896716673517,2.0,False,1.0
1028400,0.69270366,2.499673,0.40923595,0.07811478,32,0,convex,0.6885896716673517,2.0,False,1.0
1028700,0.5659805,2.1552265,0.5008428,0.06735083,32,0,convex,0.6885896716673517,2.0,False,1.0
1029000,0.61243176,2.2050643,0.5747213,0.06890826,32,0,convex,0.6885896716673517,2.0,False,1.0
1029300,0.6291439,2.3247068,0.5218452,0.07264709,32,0,convex,0.6885896716673517,2.0,False,1.0
1029600,0.57601166,2.2235765,0.42551768,0.06948677,32,0,convex,0.6885896716673517,2.0,False,1.0
1029900,0.57357657,2.2001834,0.47221756,0.06875573,32,0,convex,0.6885896716673517,2.0,False,1.0
1030200,0.79118574,2.64611,0.44987932,0.08269094,32,0,convex,0.6885896716673517,2.0,False,1.0
1030500,0.48071083,2.0737197,0.35721633,0.06480374,32,0,convex,0.6885896716673517,2.0,False,1.0
1030800,0.57052124,2.2528756,0.36419216,0.07040236,32,0,convex,0.6885896716673517,2.0,False,1.0
1031100,0.48919135,2.0349298,0.41054907,0.063591555,32,0,convex,0.6885896716673517,2.0,False,1.0
1031400,0.5140722,2.1069837,0.36604184,0.06584324,32,0,convex,0.6885896716673517,2.0,False,1.0
1031700,0.64492637,2.3441772,0.48387563,0.07325554,32,0,convex,0.6885896716673517,2.0,False,1.0
1032000,0.5946928,2.2752116,0.4285225,0.07110036,32,0,convex,0.6885896716673517,2.0,False,1.0
1032300,0.59207696,2.2300441,0.49285924,0.06968888,32,0,convex,0.6885896716673517,2.0,False,1.0
1032600,0.7161308,2.4708006,0.5497655,0.07721252,32,0,convex,0.6885896716673517,2.0,False,1.0
1032900,0.6974136,2.477132,0.50589424,0.07741038,32,0,convex,0.6885896716673517,2.0,False,1.0
1033200,0.5805,2.1629815,0.5392337,0.06759317,32,0,convex,0.6885896716673517,2.0,False,1.0
1033500,0.57703114,2.2705069,0.42484176,0.07095334,32,0,convex,0.6885896716673517,2.0,False,1.0
1033800,0.8367303,2.7535348,0.51037544,0.08604796,32,0,convex,0.6885896716673517,2.0,False,1.0
1034100,1.3757291,3.3809245,0.9914628,0.10565389,32,1,convex,0.6885896716673517,2.0,False,1.0
1034400,1.3707002,3.388198,0.99158514,0.105881184,32,1,convex,0.6885896716673517,2.0,False,1.0
1034700,1.3954045,3.3740814,0.99110985,0.10544004,32,1,convex,0.6885896716673517,2.0,False,1.0
1035000,1.0513213,2.954384,0.7086315,0.0923245,32,0,convex,0.6885896716673517,2.0,False,1.0
1035300,0.6332206,2.3531368,0.511088,0.073535524,32,0,convex,0.6885896716673517,2.0,False,1.0
1035600,0.9106229,2.7625704,0.69615334,0.086330324,32,0,convex,0.6885896716673517,2.0,False,1.0
1035900,1.0064933,2.9196239,0.68294305,0.091238245,32,0,convex,0.6885896716673517,2.0,False,1.0
1036200,0.9488507,2.8890781,0.57435423,0.09028369,32,0,convex,0.6885896716673517,2.0,False,1.0
1036500,0.61357266,2.2828617,0.51726526,0.07133943,32,0,convex,0.6885896716673517,2.0,False,1.0
1036800,0.6565192,2.2952785,0.5603909,0.071727455,32,0,convex,0.6885896716673517,2.0,False,1.0
1037100,0.52266204,2.0944614,0.45578948,0.06545192,32,0,convex,0.6885896716673517,2.0,False,1.0
1037400,0.6330302,2.2854478,0.5800534,0.071420245,32,0,convex,0.6885896716673517,2.0,False,1.0
1037700,0.7162774,2.4071574,0.6364062,0.07522367,32,0,convex,0.6885896716673517,2.0,False,1.0
1038000,0.6821872,2.4507213,0.44607478,0.07658504,32,0,convex,0.6885896716673517,2.0,False,1.0
1038300,0.34019357,1.7615618,0.16142544,0.055048805,32,0,convex,0.6885896716673517,2.0,False,1.0
1038600,0.34371555,1.7525519,0.21923937,0.054767247,32,0,convex,0.6885896716673517,2.0,False,1.0
1038900,0.3742088,1.8476387,0.22296654,0.05773871,32,0,convex,0.6885896716673517,2.0,False,1.0
1039200,0.7587373,2.616068,0.5252577,0.08175212,32,0,convex,0.6885896716673517,2.0,False,1.0
1039500,0.6238013,2.3678777,0.48326018,0.07399618,32,0,convex,0.6885896716673517,2.0,False,1.0
1039800,0.38106847,1.8667791,0.21051577,0.058336847,32,0,convex,0.6885896716673517,2.0,False,1.0
1040100,0.75093096,2.5514975,0.6262361,0.079734296,32,0,convex,0.6885896716673517,2.0,False,1.0
1040400,1.1494772,3.0293965,0.99092054,0.09466864,32,1,convex,0.6885896716673517,2.0,False,1.0
1040700,1.0964059,2.9470987,0.9692655,0.092096835,32,1,convex,0.6885896716673517,2.0,False,1.0
1041000,0.4706378,2.0977907,0.2528483,0.06555596,32,0,convex,0.6885896716673517,2.0,False,1.0
1041300,0.383123,1.8321412,0.28981718,0.05725441,32,0,convex,0.6885896716673517,2.0,False,1.0
1041600,0.40133837,1.8929731,0.27445093,0.05915541,32,0,convex,0.6885896716673517,2.0,False,1.0
1041900,0.34446058,1.7752912,0.15934262,0.05547785,32,0,convex,0.6885896716673517,2.0,False,1.0
1042200,0.3256276,1.7008736,0.16502231,0.0531523,32,0,convex,0.6885896716673517,2.0,False,1.0
1042500,0.3581905,1.8482488,0.15072306,0.057757776,32,0,convex,0.6885896716673517,2.0,False,1.0
1042800,0.3806323,1.8326383,0.28098622,0.057269946,32,0,convex,0.6885896716673517,2.0,False,1.0
1043100,0.41254583,1.8889518,0.32669875,0.059029743,32,0,convex,0.6885896716673517,2.0,False,1.0
1043400,0.4446077,1.9348032,0.36654666,0.0604626,32,0,convex,0.6885896716673517,2.0,False,1.0
1043700,0.34637564,1.7741817,0.17547408,0.05544318,32,0,convex,0.6885896716673517,2.0,False,1.0
1044000,0.394333,1.8509623,0.29571268,0.05784257,32,0,convex,0.6885896716673517,2.0,False,1.0
1044300,0.36366323,1.7968485,0.22053976,0.056151517,32,0,convex,0.6885896716673517,2.0,False,1.0
1044600,0.3330612,1.7501093,0.1720395,0.054690916,32,0,convex,0.6885896716673517,2.0,False,1.0
1044900,1.6867839,4.1577168,0.9119311,0.12992865,32,1,convex,0.6885896716673517,2.0,False,1.0
1045200,1.6547306,4.399915,0.53577554,0.13749735,32,0,convex,0.6885896716673517,2.0,False,1.0
1045500,2.7924323,5.5694804,0.9579664,0.17404626,32,1,convex,0.6885896716673517,2.0,False,1.0
1045800,2.4664915,4.966225,0.9671158,0.15519454,32,1,convex,0.6885896716673517,2.0,False,1.0
1046100,2.5412803,5.183579,0.9576758,0.16198684,32,1,convex,0.6885896716673517,2.0,False,1.0
1046400,2.4751444,5.0380945,0.96030474,0.15744045,32,1,convex,0.6885896716673517,2.0,False,1.0
1046700,2.3226216,4.6843677,0.9618234,0.14638649,32,1,convex,0.6885896716673517,2.0,False,1.0
1047000,2.314235,4.6764116,0.9618234,0.14613786,32,1,convex,0.6885896716673517,2.0,False,1.0
