mapping,seed,checkpoint,stage,naive_task_1_reward,replay_task_1_reward,reactive_stage_reward,reactive_task_1_reward,naive_rolling_bwt,replay_rolling_bwt,reactive_rolling_bwt,naive_mean_prior_bwt,replay_mean_prior_bwt,reactive_mean_prior_bwt,naive_forgetting,replay_forgetting
convex,9,1,1,-281.9760224223137,-281.9760224223137,-552.9429635922113,-552.9429635922113,0.0,0.0,0.0,,,,0.0,0.0
convex,9,25,2,-428.80240815877914,-289.7095237970352,-523.9809528559447,-552.9429635922113,-146.82638573646545,-7.733501374721527,0.0,-146.82638573646545,-7.733501374721527,0.0,146.82638573646545,7.733501374721527
convex,9,50,3,-930.709127008915,-228.21902114152908,-518.1131430032352,-552.9429635922113,-648.7331045866013,53.75700128078461,0.0,-324.36655229330063,26.878500640392303,0.0,648.7331045866013,0.0
convex,9,75,4,-903.0862780213356,-208.77336883544922,-558.9565045118336,-552.9429635922113,-621.1102555990219,73.20265358686447,0.0,-207.03675186634064,25.235082924365997,0.0,621.1102555990219,0.0
convex,9,100,5,-876.4481816887856,-232.08646088838577,-550.881430483858,-552.9429635922113,-594.4721592664719,49.88956153392792,0.0,-148.61803981661797,12.382731899619102,0.0,594.4721592664719,0.0
convex,9,125,6,-886.3986302018166,-204.2616050839424,-348.3140161792436,-552.9429635922113,-604.4226077795029,77.71441733837128,0.0,-120.88452155590058,11.142080891132355,0.0,604.4226077795029,0.0
convex,10,1,1,-646.7406371235847,-646.7406371235847,-552.9429635922113,-552.9429635922113,0.0,0.0,0.0,,,,0.0,0.0
convex,10,25,2,-373.9590449333191,-238.81258648633957,-523.9809528559447,-552.9429635922113,272.78159219026566,407.9280506372452,0.0,272.78159219026566,407.9280506372452,0.0,0.0,0.0
convex,10,50,3,-457.13865822553635,-226.20833736658096,-518.1131430032352,-552.9429635922113,189.6019788980484,420.5322997570038,0.0,90.35622945427895,210.2661498785019,0.0,0.0,0.0
convex,10,75,4,-650.1638627648354,-217.1570126414299,-558.9565045118336,-552.9429635922113,-3.4232256412506104,429.58362448215485,0.0,-17.959308167298634,143.1945414940516,0.0,3.4232256412506104,0.0
convex,10,100,5,-453.4611052274704,-214.72882318496704,-550.881430483858,-552.9429635922113,193.27953189611435,432.0118139386177,0.0,46.62280395627022,113.13234232366085,0.0,0.0,0.0
convex,10,125,6,-646.7406371235847,-224.2922260761261,-348.3140161792436,-552.9429635922113,0.0,422.44841104745865,0.0,-39.29381775856018,84.55442798137665,0.0,0.0,0.0
convex,11,1,1,-284.8123354315758,-284.8123354315758,-552.9429635922113,-552.9429635922113,0.0,0.0,0.0,,,,0.0,0.0
convex,11,25,2,-336.365154504776,-248.3741215467453,-523.9809528559447,-552.9429635922113,-51.552819073200226,36.438213884830475,0.0,-51.552819073200226,36.438213884830475,0.0,51.552819073200226,0.0
convex,11,50,3,-446.7144256234169,-259.19546991586685,-518.1131430032352,-552.9429635922113,-161.90209019184113,25.616865515708923,0.0,-80.95104509592056,12.808432757854462,0.0,161.90209019184113,0.0
convex,11,75,4,-443.7991946339607,-226.20833736658096,-558.9565045118336,-552.9429635922113,-158.98685920238495,58.60399806499481,0.0,-57.427964409192406,21.11903754870097,0.0,158.98685920238495,0.0
convex,11,100,5,-492.70273691415787,-227.02466350793839,-550.881430483858,-552.9429635922113,-207.8904014825821,57.78767192363739,0.0,-96.76382061839104,12.433868914842606,0.0,207.8904014825821,0.0
convex,11,125,6,-475.32189667224884,-241.9789885878563,-348.3140161792436,-552.9429635922113,-190.50956124067307,42.83334684371948,0.0,-86.84117439985275,2.9245691180229185,0.0,190.50956124067307,0.0
