timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,capacity_per_task
10500,1.6040934,74.192566,0.9893506,0.07419257,1000,1,convex,0.04457436427364582,2.0,1.0
10800,1.6883097,75.59628,0.98985887,0.07559628,1000,1,convex,0.04457436427364582,2.0,1.0
11100,1.8075119,78.29001,0.99007905,0.07829001,1000,1,convex,0.04457436427364582,2.0,1.0
11400,1.5996996,74.23789,0.989572,0.07423789,1000,1,convex,0.04457436427364582,2.0,1.0
11700,1.561805,73.313934,0.989015,0.07331394,1000,1,convex,0.04457436427364582,2.0,1.0
12000,1.5788093,73.609535,0.98946327,0.07360954,1000,1,convex,0.04457436427364582,2.0,1.0
12300,1.642463,75.31129,0.99161434,0.07531129,1000,1,convex,0.04457436427364582,2.0,1.0
12600,1.6500684,75.388405,0.98973054,0.0753884,1000,1,convex,0.04457436427364582,2.0,1.0
12900,1.5944295,74.03715,0.99013305,0.07403715,1000,1,convex,0.04457436427364582,2.0,1.0
13200,1.5932127,74.28765,0.9896707,0.07428765,1000,1,convex,0.04457436427364582,2.0,1.0
13500,1.6291221,74.586464,0.99015164,0.074586466,1000,1,convex,0.04457436427364582,2.0,1.0
13800,1.6616039,75.94467,0.9895766,0.07594467,1000,1,convex,0.04457436427364582,2.0,1.0
14100,1.6405687,75.3812,0.9857529,0.075381204,1000,1,convex,0.04457436427364582,2.0,1.0
14400,1.6886517,76.212845,0.98665816,0.076212846,1000,1,convex,0.04457436427364582,2.0,1.0
14700,1.6088954,73.72033,0.98718494,0.07372033,1000,1,convex,0.04457436427364582,2.0,1.0
15000,1.7144617,76.597404,0.9861877,0.07659741,1000,1,convex,0.04457436427364582,2.0,1.0
15300,1.8284662,78.72076,0.990604,0.078720756,1000,1,convex,0.04457436427364582,2.0,1.0
15600,1.7272301,77.091675,0.99038404,0.07709167,1000,1,convex,0.04457436427364582,2.0,1.0
15900,1.7393872,77.73948,0.9910767,0.07773948,1000,1,convex,0.04457436427364582,2.0,1.0
16200,1.664081,74.87181,0.98836625,0.07487181,1000,1,convex,0.04457436427364582,2.0,1.0
16500,1.6117427,74.221016,0.98779637,0.074221015,1000,1,convex,0.04457436427364582,2.0,1.0
16800,1.6279006,74.6166,0.99203736,0.0746166,1000,1,convex,0.04457436427364582,2.0,1.0
17100,1.6271833,74.44512,0.99124867,0.07444512,1000,1,convex,0.04457436427364582,2.0,1.0
17400,1.6310384,74.34831,0.99123186,0.074348316,1000,1,convex,0.04457436427364582,2.0,1.0
17700,1.6265317,74.64358,0.9870081,0.074643575,1000,1,convex,0.04457436427364582,2.0,1.0
18000,1.6374606,74.26507,0.9889101,0.07426507,1000,1,convex,0.04457436427364582,2.0,1.0
18300,1.6305522,74.649605,0.9867666,0.0746496,1000,1,convex,0.04457436427364582,2.0,1.0
18600,1.6304309,75.13705,0.98661524,0.07513705,1000,1,convex,0.04457436427364582,2.0,1.0
18900,1.704526,76.64397,0.98596126,0.076643966,1000,1,convex,0.04457436427364582,2.0,1.0
19200,1.5473522,72.8407,0.9913315,0.0728407,1000,1,convex,0.04457436427364582,2.0,1.0
19500,1.7097142,77.20917,0.9924474,0.07720917,1000,1,convex,0.04457436427364582,2.0,1.0
19800,1.6790193,75.349045,0.98742706,0.07534905,1000,1,convex,0.04457436427364582,2.0,1.0
20100,1.6094004,74.149124,0.98717576,0.074149124,1000,1,convex,0.04457436427364582,2.0,1.0
20400,1.607272,73.730034,0.9872436,0.07373004,1000,1,convex,0.04457436427364582,2.0,1.0
20700,1.5851016,73.540245,0.98704237,0.07354025,1000,1,convex,0.04457436427364582,2.0,1.0
21000,1.5959674,74.16456,0.9860939,0.07416456,1000,1,convex,0.04457436427364582,2.0,1.0
