mapping,curriculum_source,vm_selection_strategy,selected_vm_count,seed_count,seeds,final_checkpoint,initial_task_1_reward_mean,initial_task_1_reward_std,naive_stage_final_reward_mean,naive_stage_final_reward_std,replay_stage_final_reward_mean,replay_stage_final_reward_std,naive_final_bwt_mean,naive_final_bwt_std,replay_final_bwt_mean,replay_final_bwt_std,naive_final_forgetting_mean,naive_final_forgetting_std,replay_final_forgetting_mean,replay_final_forgetting_std,reactive_stage_final_reward_mean,reactive_stage_final_reward_std
linear,azure,per_checkpoint_dense,32,3,"7,8,9",125,-467.7693684498469,87.5769833241037,-539.2192113498846,368.58133265809977,-308.19856306910515,25.58001439368904,-71.44984290003777,344.8136485854985,159.57080538074177,89.75832193580761,149.1610361735026,258.3544931621257,0.0,0.0,-287.77653590838116,0.0
convex,azure,per_checkpoint_dense,32,3,"7,8,9",125,-427.3505958517392,125.96045892380056,-726.6266348163286,138.3666068171626,-238.00154350201288,43.6124939950104,-299.2760389645894,264.2944070673647,189.34905234972635,103.28295375840646,299.2760389645894,264.2944070673647,0.0,0.0,-348.31401617924365,0.0
threshold,azure,per_checkpoint_dense,32,3,"7,8,9",125,-394.48751757542294,128.1816697595663,-450.0829319556554,273.27532485248173,-213.2608168125153,54.21576322248029,-55.59541438023249,269.68227415987656,181.22670076290763,97.69030166889532,118.04962273438773,197.2532822780435,0.0,0.0,-301.14272646903976,0.0
