timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
0,1.4859911,3.0722673,0.764653,0.09600835,32,0,linear,0.4836790020970991,2.0,False,1.0
300,1.1307546,2.3378203,0.59513223,0.073056884,32,0,linear,0.4836790020970991,2.0,False,1.0
600,1.15537,2.3887124,0.58802754,0.07464726,32,0,linear,0.4836790020970991,2.0,False,1.0
900,1.1869895,2.4540854,0.62691414,0.07669017,32,0,linear,0.4836790020970991,2.0,False,1.0
1200,1.1229662,2.321718,0.55125904,0.07255369,32,0,linear,0.4836790020970991,2.0,False,1.0
1500,1.1868833,2.4538658,0.5929535,0.076683305,32,0,linear,0.4836790020970991,2.0,False,1.0
1800,1.169925,2.4188046,0.6067989,0.075587645,32,0,linear,0.4836790020970991,2.0,False,1.0
2100,1.1329776,2.3424163,0.5856331,0.07320051,32,0,linear,0.4836790020970991,2.0,False,1.0
2400,1.1670579,2.4128768,0.61531264,0.0754024,32,0,linear,0.4836790020970991,2.0,False,1.0
2700,1.2266824,2.53615,0.570319,0.07925469,32,0,linear,0.4836790020970991,2.0,False,1.0
3000,1.1810694,2.4418454,0.62356144,0.07630767,32,0,linear,0.4836790020970991,2.0,False,1.0
3300,1.3146166,2.7179525,0.59835786,0.084936015,32,0,linear,0.4836790020970991,2.0,False,1.0
3600,1.4696416,3.0384648,0.6264453,0.094952025,32,0,linear,0.4836790020970991,2.0,False,1.0
3900,1.1617464,2.4018955,0.591308,0.075059235,32,0,linear,0.4836790020970991,2.0,False,1.0
4200,1.1383078,2.3534365,0.6284372,0.07354489,32,0,linear,0.4836790020970991,2.0,False,1.0
4500,1.117185,2.3097653,0.5943563,0.07218017,32,0,linear,0.4836790020970991,2.0,False,1.0
4800,1.1276095,2.331318,0.6227575,0.072853684,32,0,linear,0.4836790020970991,2.0,False,1.0
5100,1.1501861,2.3779945,0.63603354,0.07431233,32,0,linear,0.4836790020970991,2.0,False,1.0
5400,1.5856515,3.2783139,0.9899163,0.10244731,32,1,linear,0.4836790020970991,2.0,False,1.0
5700,1.6135694,3.3360336,0.99015707,0.10425105,32,1,linear,0.4836790020970991,2.0,False,1.0
6000,1.5976502,3.3031209,0.9899714,0.10322253,32,1,linear,0.4836790020970991,2.0,False,1.0
6300,1.7058182,3.5267568,0.9900704,0.11021115,32,1,linear,0.4836790020970991,2.0,False,1.0
6600,1.6617513,3.435649,0.9906064,0.10736403,32,1,linear,0.4836790020970991,2.0,False,1.0
6900,1.613249,3.335371,0.99078435,0.104230344,32,1,linear,0.4836790020970991,2.0,False,1.0
7200,1.816778,3.7561646,0.98924977,0.11738014,32,1,linear,0.4836790020970991,2.0,False,1.0
7500,2.0836842,4.30799,0.9894517,0.13462469,32,1,linear,0.4836790020970991,2.0,False,1.0
7800,2.000578,4.1361685,0.98924994,0.12925526,32,1,linear,0.4836790020970991,2.0,False,1.0
8100,1.6855264,3.4848037,0.9894736,0.108900115,32,1,linear,0.4836790020970991,2.0,False,1.0
8400,1.5633067,3.2321162,0.99031407,0.10100363,32,1,linear,0.4836790020970991,2.0,False,1.0
8700,1.593233,3.2939885,0.9901253,0.10293714,32,1,linear,0.4836790020970991,2.0,False,1.0
9000,1.570877,3.2477674,0.9899683,0.10149273,32,1,linear,0.4836790020970991,2.0,False,1.0
9300,1.6314437,3.3729887,0.9900042,0.1054059,32,1,linear,0.4836790020970991,2.0,False,1.0
9600,1.6177082,3.3445907,0.9897591,0.10451846,32,1,linear,0.4836790020970991,2.0,False,1.0
9900,1.6622095,3.4365964,0.98981035,0.10739364,32,1,linear,0.4836790020970991,2.0,False,1.0
10200,1.6807418,3.4749117,0.9892599,0.10859099,32,1,linear,0.4836790020970991,2.0,False,1.0
10500,1.6147704,3.3385167,0.9893506,0.10432865,32,1,linear,0.4836790020970991,2.0,False,1.0
10800,1.5906155,3.2885768,0.98985887,0.10276803,32,1,linear,0.4836790020970991,2.0,False,1.0
11100,1.8796458,3.8861432,0.98972887,0.121441975,32,1,linear,0.4836790020970991,2.0,False,1.0
11400,1.7776486,3.675265,0.989572,0.11485203,32,1,linear,0.4836790020970991,2.0,False,1.0
11700,1.5654626,3.2365735,0.989015,0.10114292,32,1,linear,0.4836790020970991,2.0,False,1.0
12000,1.5593975,3.2240338,0.98946327,0.10075106,32,1,linear,0.4836790020970991,2.0,False,1.0
12300,1.5660233,3.237733,0.9903985,0.10117915,32,1,linear,0.4836790020970991,2.0,False,1.0
12600,1.5915943,3.2906005,0.98973054,0.10283127,32,1,linear,0.4836790020970991,2.0,False,1.0
12900,1.580005,3.2666397,0.99013305,0.10208249,32,1,linear,0.4836790020970991,2.0,False,1.0
13200,1.5493644,3.2032907,0.9896707,0.100102834,32,1,linear,0.4836790020970991,2.0,False,1.0
13500,1.6133227,3.3355236,0.99015164,0.10423511,32,1,linear,0.4836790020970991,2.0,False,1.0
