step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
26,1,26,False,2.000577926635742,2.000577926635742,2.0,2,1.0,True,3,3.0
27,1,27,False,1.6855263710021973,1.6855263710021973,2.0,2,1.0,False,3,3.0
28,1,28,False,1.5633066892623901,1.5633066892623901,2.0,2,1.0,False,3,3.0
29,1,29,False,1.5932329893112183,1.5932329893112183,2.0,2,1.0,False,3,3.0
30,1,30,False,1.570876955986023,1.570876955986023,2.0,2,1.0,False,3,3.0
31,1,31,False,1.631443738937378,1.631443738937378,2.0,2,1.0,False,3,3.0
32,1,32,False,1.6177082061767578,1.6177082061767578,2.0,2,1.0,False,3,3.0
33,1,33,False,1.6622095108032227,1.6622095108032227,2.0,2,1.0,False,3,3.0
34,1,34,False,1.680741786956787,1.680741786956787,2.0,2,1.0,False,3,3.0
35,1,35,False,1.6147704124450684,1.6147704124450684,2.0,2,1.0,False,3,3.0
36,1,36,False,1.5906155109405518,1.5906155109405518,2.0,2,1.0,False,3,3.0
37,1,37,False,1.879645824432373,1.879645824432373,2.0,2,1.0,False,3,3.0
38,1,38,False,1.7776485681533813,1.7776485681533813,2.0,2,1.0,False,3,3.0
39,1,39,False,1.565462589263916,1.565462589263916,2.0,2,1.0,False,3,3.0
40,1,40,False,1.5593974590301514,1.5593974590301514,2.0,2,1.0,False,3,3.0
41,1,41,False,1.566023349761963,1.566023349761963,2.0,2,1.0,False,3,3.0
42,1,42,False,1.5915943384170532,1.5915943384170532,2.0,2,1.0,False,3,3.0
43,1,43,False,1.5800050497055054,1.5800050497055054,2.0,2,1.0,False,3,3.0
44,1,44,False,1.549364447593689,1.549364447593689,2.0,2,1.0,False,3,3.0
45,1,45,False,1.6133227348327637,1.6133227348327637,2.0,2,1.0,False,3,3.0
46,1,46,False,1.6697065830230713,1.6697065830230713,2.0,2,1.0,False,3,3.0
47,1,47,False,1.1723254919052124,1.1723254919052124,2.0,2,1.0,False,3,3.0
48,1,48,False,1.1251962184906006,1.1251962184906006,1.0,1,1.0,True,3,3.0
49,1,49,False,1.144270658493042,1.144270658493042,1.0,1,1.0,True,3,3.0
50,1,50,False,1.2482496500015259,1.2482496500015259,1.0,1,1.0,True,3,3.0
51,1,51,False,1.6219840049743652,1.6219840049743652,1.0,1,1.0,True,3,3.0
52,1,52,False,1.6311858892440796,1.6311858892440796,2.0,2,1.0,False,3,3.0
53,1,53,False,1.3298721313476562,1.3298721313476562,2.0,2,1.0,False,3,3.0
54,1,54,False,1.1605274677276611,1.1605274677276611,2.0,2,1.0,False,3,3.0
55,1,55,False,1.1701735258102417,1.1701735258102417,2.0,2,1.0,False,3,3.0
56,1,56,False,1.1636364459991455,1.1636364459991455,2.0,2,1.0,False,3,3.0
57,1,57,False,1.163008451461792,1.163008451461792,2.0,2,1.0,False,3,3.0
58,1,58,False,1.1932193040847778,1.1932193040847778,2.0,2,1.0,False,3,3.0
59,1,59,False,1.2325488328933716,1.2325488328933716,2.0,2,1.0,False,3,3.0
60,1,60,False,1.2548919916152954,1.2548919916152954,2.0,2,1.0,False,3,3.0
61,1,61,False,1.2710411548614502,1.2710411548614502,2.0,2,1.0,False,3,3.0
62,1,62,False,1.1911715269088745,1.1911715269088745,2.0,2,1.0,False,3,3.0
63,1,63,False,1.4514760971069336,1.4514760971069336,2.0,2,1.0,False,3,3.0
64,1,64,False,1.3261024951934814,1.3261024951934814,2.0,2,1.0,False,3,3.0
65,1,65,False,1.165395736694336,1.165395736694336,2.0,2,1.0,False,3,3.0
66,1,66,False,1.238392949104309,1.238392949104309,1.0,1,1.0,True,3,3.0
67,1,67,False,1.1489297151565552,1.1489297151565552,1.0,1,1.0,True,3,3.0
68,1,68,False,1.1707628965377808,1.1707628965377808,1.0,1,1.0,True,3,3.0
69,1,69,False,1.1901960372924805,1.1901960372924805,1.0,1,1.0,True,3,3.0
70,1,70,False,1.1952157020568848,1.1952157020568848,1.0,1,1.0,True,3,3.0
71,25,0,False,0.8605032563209534,0.8605032563209534,1.0,1,1.0,False,3,3.0
72,25,1,False,0.8201106786727905,0.8201106786727905,1.0,1,1.0,False,3,3.0
73,25,2,False,0.8971630930900574,0.8971630930900574,1.0,1,1.0,False,3,3.0
74,25,3,False,0.8729307055473328,0.8729307055473328,1.0,1,1.0,False,3,3.0
75,25,4,False,0.8649428486824036,0.8649428486824036,1.0,1,1.0,False,3,3.0
76,25,5,False,0.8160704374313354,0.8160704374313354,1.0,1,1.0,False,2,2.0
77,25,6,False,0.8216106295585632,0.8216106295585632,1.0,1,1.0,False,2,2.0
78,25,7,False,0.7607754468917847,0.7607754468917847,1.0,1,1.0,False,2,2.0
79,25,8,False,0.9554176330566406,0.9554176330566406,1.0,1,1.0,False,2,2.0
80,25,9,False,0.9628919363021851,0.9628919363021851,1.0,1,1.0,False,2,2.0
81,25,10,False,0.841086208820343,0.841086208820343,1.0,1,1.0,False,2,2.0
82,25,11,False,0.8958500027656555,0.8958500027656555,1.0,1,1.0,False,2,2.0
83,25,12,False,0.9201886653900146,0.9201886653900146,1.0,1,1.0,False,2,2.0
84,25,13,False,0.9442299008369446,0.9442299008369446,1.0,1,1.0,False,2,2.0
85,25,14,False,1.0161852836608887,1.0161852836608887,1.0,1,1.0,True,2,2.0
