timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
2061600,0.8243117,1.7042536,0.3161305,0.053257924,32,0,linear,0.4836790020970991,2.0,False,1.0
2061900,0.8091648,1.6729376,0.210473,0.0522793,32,0,linear,0.4836790020970991,2.0,False,1.0
2062200,0.88457114,1.8288393,0.2245888,0.05715123,32,0,linear,0.4836790020970991,2.0,False,1.0
2062500,1.0438757,2.1581993,0.3240095,0.06744373,32,0,linear,0.4836790020970991,2.0,False,1.0
2062800,0.9158544,1.893517,0.2366968,0.059172407,32,0,linear,0.4836790020970991,2.0,False,1.0
2063100,1.1961644,2.4730542,0.5268433,0.07728294,32,0,linear,0.4836790020970991,2.0,False,1.0
2063400,1.6710014,3.4547737,0.52705014,0.10796168,32,0,linear,0.4836790020970991,2.0,False,1.0
2063700,1.6318781,3.3738868,0.66058797,0.10543396,32,0,linear,0.4836790020970991,2.0,False,1.0
2064000,1.2622507,2.6096869,0.4797351,0.081552714,32,0,linear,0.4836790020970991,2.0,False,1.0
2064300,1.1524552,2.3826861,0.43627045,0.07445894,32,0,linear,0.4836790020970991,2.0,False,1.0
2064600,1.2565848,2.5979726,0.4107006,0.081186645,32,0,linear,0.4836790020970991,2.0,False,1.0
2064900,1.0206829,2.1102486,0.40915775,0.06594527,32,0,linear,0.4836790020970991,2.0,False,1.0
2065200,1.154787,2.387507,0.5379521,0.07460959,32,0,linear,0.4836790020970991,2.0,False,1.0
2065500,0.9025716,1.866055,0.2876333,0.05831422,32,0,linear,0.4836790020970991,2.0,False,1.0
2065800,0.8044667,1.6632245,0.21593365,0.051975764,32,0,linear,0.4836790020970991,2.0,False,1.0
2066100,0.9464838,1.9568429,0.34070385,0.06115134,32,0,linear,0.4836790020970991,2.0,False,1.0
2066400,1.1284287,2.3330116,0.6184962,0.07290661,32,0,linear,0.4836790020970991,2.0,False,1.0
2066700,1.1416193,2.3602831,0.6331116,0.07375885,32,0,linear,0.4836790020970991,2.0,False,1.0
2067000,1.0745922,2.2217054,0.5562778,0.069428295,32,0,linear,0.4836790020970991,2.0,False,1.0
2067300,1.0988593,2.2718773,0.31419912,0.070996165,32,0,linear,0.4836790020970991,2.0,False,1.0
2067600,1.0920696,2.2578397,0.5196136,0.07055749,32,0,linear,0.4836790020970991,2.0,False,1.0
2067900,1.1425194,2.3621438,0.55896693,0.07381699,32,0,linear,0.4836790020970991,2.0,False,1.0
2068200,0.8571901,1.7722293,0.23016477,0.055382166,32,0,linear,0.4836790020970991,2.0,False,1.0
2068500,0.8450769,1.7471855,0.22635955,0.054599546,32,0,linear,0.4836790020970991,2.0,False,1.0
2068800,0.8579982,1.7739,0.29603523,0.055434376,32,0,linear,0.4836790020970991,2.0,False,1.0
2069100,0.8247126,1.7050824,0.20065735,0.053283826,32,0,linear,0.4836790020970991,2.0,False,1.0
2069400,0.79299635,1.6395096,0.20534693,0.051234674,32,0,linear,0.4836790020970991,2.0,False,1.0
2069700,0.87089914,1.8005726,0.3047487,0.056267895,32,0,linear,0.4836790020970991,2.0,False,1.0
2070000,0.8376716,1.7318751,0.23431821,0.054121096,32,0,linear,0.4836790020970991,2.0,False,1.0
2070300,0.87404805,1.8070829,0.25703946,0.05647134,32,0,linear,0.4836790020970991,2.0,False,1.0
2070600,0.88005686,1.819506,0.22879785,0.056859564,32,0,linear,0.4836790020970991,2.0,False,1.0
2070900,0.83604085,1.7285036,0.20464645,0.054015737,32,0,linear,0.4836790020970991,2.0,False,1.0
2071200,0.8102812,1.6752459,0.2332398,0.052351434,32,0,linear,0.4836790020970991,2.0,False,1.0
2071500,0.87411225,1.8072157,0.28403103,0.05647549,32,0,linear,0.4836790020970991,2.0,False,1.0
2071800,0.99199754,2.050942,0.44933352,0.064091936,32,0,linear,0.4836790020970991,2.0,False,1.0
2072100,1.1220014,2.3197231,0.57909214,0.07249135,32,0,linear,0.4836790020970991,2.0,False,1.0
2072400,0.9928418,2.0526874,0.40487128,0.06414648,32,0,linear,0.4836790020970991,2.0,False,1.0
2072700,0.8451714,1.7473809,0.20950149,0.05460565,32,0,linear,0.4836790020970991,2.0,False,1.0
2073000,1.0971999,2.2684464,0.453035,0.07088895,32,0,linear,0.4836790020970991,2.0,False,1.0
2073300,1.1283282,2.3328037,0.52215433,0.07290012,32,0,linear,0.4836790020970991,2.0,False,1.0
2073600,1.3160865,2.7209916,0.80393887,0.08503099,32,0,linear,0.4836790020970991,2.0,False,1.0
2073900,1.5218543,3.1464138,0.88833547,0.09832543,32,0,linear,0.4836790020970991,2.0,False,1.0
2074200,1.3562785,2.804088,0.9160132,0.08762775,32,1,linear,0.4836790020970991,2.0,False,1.0
2074500,1.3279778,2.7455766,0.92729837,0.08579927,32,1,linear,0.4836790020970991,2.0,False,1.0
2074800,1.3758819,2.8446178,0.96549344,0.08889431,32,1,linear,0.4836790020970991,2.0,False,1.0
2075100,1.2759339,2.6379766,0.9643942,0.08243677,32,1,linear,0.4836790020970991,2.0,False,1.0
2075400,1.2303683,2.5437703,0.95808667,0.07949282,32,1,linear,0.4836790020970991,2.0,False,1.0
2075700,1.267668,2.620887,0.95655465,0.08190272,32,1,linear,0.4836790020970991,2.0,False,1.0
2076000,1.253332,2.5912476,0.964235,0.080976486,32,1,linear,0.4836790020970991,2.0,False,1.0
2076300,1.4747939,3.049117,0.96556175,0.09528491,32,1,linear,0.4836790020970991,2.0,False,1.0
2076600,1.2008771,2.4827976,0.5295694,0.077587426,32,0,linear,0.4836790020970991,2.0,False,1.0
2076900,0.8178036,1.6907983,0.21869238,0.052837446,32,0,linear,0.4836790020970991,2.0,False,1.0
2077200,0.786241,1.625543,0.2882106,0.05079822,32,0,linear,0.4836790020970991,2.0,False,1.0
2077500,0.8577989,1.7734879,0.2510114,0.055421498,32,0,linear,0.4836790020970991,2.0,False,1.0
2077800,0.85115707,1.7597561,0.22913039,0.054992378,32,0,linear,0.4836790020970991,2.0,False,1.0
2078100,0.79793787,1.6497262,0.28569847,0.051553942,32,0,linear,0.4836790020970991,2.0,False,1.0
2078400,0.7130059,1.4741304,0.20153636,0.046066575,32,0,linear,0.4836790020970991,2.0,False,1.0
2078700,0.7669141,1.5855849,0.2286774,0.049549527,32,0,linear,0.4836790020970991,2.0,False,1.0
2079000,0.75911766,1.5694659,0.27104336,0.04904581,32,0,linear,0.4836790020970991,2.0,False,1.0
2079300,0.78743964,1.6280211,0.22688651,0.05087566,32,0,linear,0.4836790020970991,2.0,False,1.0
2079600,0.7429179,1.5359731,0.19064789,0.04799916,32,0,linear,0.4836790020970991,2.0,False,1.0
2079900,0.8085771,1.6717227,0.27944535,0.052241333,32,0,linear,0.4836790020970991,2.0,False,1.0
2080200,0.7641396,1.5798486,0.18308683,0.04937027,32,0,linear,0.4836790020970991,2.0,False,1.0
2080500,0.9258785,1.9142418,0.40558535,0.059820056,32,0,linear,0.4836790020970991,2.0,False,1.0
2080800,0.99598527,2.0591865,0.51263404,0.06434958,32,0,linear,0.4836790020970991,2.0,False,1.0
