mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
linear,8,reactive,6,125,5,100,-499.83730963468537
linear,8,reactive,6,125,6,125,-287.77653590838116
linear,9,naive,1,1,1,1,-515.2979836463928
linear,9,naive,2,25,1,1,-962.7810921669006
linear,9,naive,2,25,2,25,-106.11182725429535
linear,9,naive,3,50,1,1,-962.7810921669006
linear,9,naive,3,50,2,25,-106.11182725429535
linear,9,naive,3,50,3,50,-602.0357623398304
linear,9,naive,4,75,1,1,-962.7810921669006
linear,9,naive,4,75,2,25,-106.11182725429535
linear,9,naive,4,75,3,50,-593.0596944391727
linear,9,naive,4,75,4,75,-222.24761040508747
linear,9,naive,5,100,1,1,-962.7810921669006
linear,9,naive,5,100,2,25,-106.11182725429535
linear,9,naive,5,100,3,50,-602.0357623398304
linear,9,naive,5,100,4,75,-222.24761040508747
linear,9,naive,5,100,5,100,-342.0853231102228
linear,9,naive,6,125,1,1,-962.7810921669006
linear,9,naive,6,125,2,25,-106.11182725429535
linear,9,naive,6,125,3,50,-602.0357623398304
linear,9,naive,6,125,4,75,-222.24761040508747
linear,9,naive,6,125,5,100,-342.0853231102228
linear,9,naive,6,125,6,125,-491.9416091442108
linear,9,replay,1,1,1,1,-515.2979836463928
linear,9,replay,2,25,1,1,-338.4089767932892
linear,9,replay,2,25,2,25,-131.4870489835739
linear,9,replay,3,50,1,1,-347.28261482715607
linear,9,replay,3,50,2,25,-164.09495621919632
linear,9,replay,3,50,3,50,-500.36032542586327
linear,9,replay,4,75,1,1,-361.8655699491501
linear,9,replay,4,75,2,25,-229.5750407576561
linear,9,replay,4,75,3,50,-358.2845340371132
linear,9,replay,4,75,4,75,-261.4060681462288
linear,9,replay,5,100,1,1,-322.2956680059433
linear,9,replay,5,100,2,25,-203.6120439171791
linear,9,replay,5,100,3,50,-305.92278987169266
linear,9,replay,5,100,4,75,-234.0405844002962
linear,9,replay,5,100,5,100,-265.68958427011967
linear,9,replay,6,125,1,1,-283.0023593902588
linear,9,replay,6,125,2,25,-115.2293649315834
linear,9,replay,6,125,3,50,-334.9771723151207
linear,9,replay,6,125,4,75,-236.34325182437897
linear,9,replay,6,125,5,100,-209.8031925112009
linear,9,replay,6,125,6,125,-287.7542622089386
linear,9,reactive,1,1,1,1,-423.8431103388468
linear,9,reactive,2,25,1,1,-423.8431103388468
linear,9,reactive,2,25,2,25,-434.18704797029477
linear,9,reactive,3,50,1,1,-423.8431103388468
linear,9,reactive,3,50,2,25,-434.18704797029477
linear,9,reactive,3,50,3,50,-491.9237703184287
linear,9,reactive,4,75,1,1,-423.8431103388468
linear,9,reactive,4,75,2,25,-434.18704797029477
linear,9,reactive,4,75,3,50,-491.9237703184287
linear,9,reactive,4,75,4,75,-490.17961324453336
linear,9,reactive,5,100,1,1,-423.8431103388468
linear,9,reactive,5,100,2,25,-434.18704797029477
linear,9,reactive,5,100,3,50,-491.9237703184287
linear,9,reactive,5,100,4,75,-490.17961324453336
linear,9,reactive,5,100,5,100,-499.83730963468537
linear,9,reactive,6,125,1,1,-423.8431103388468
linear,9,reactive,6,125,2,25,-434.18704797029477
linear,9,reactive,6,125,3,50,-491.9237703184287
linear,9,reactive,6,125,4,75,-490.17961324453336
linear,9,reactive,6,125,5,100,-499.83730963468537
linear,9,reactive,6,125,6,125,-287.77653590838116
linear,10,naive,1,1,1,1,-521.3064260482788
linear,10,naive,2,25,1,1,-962.7810921669006
linear,10,naive,2,25,2,25,-106.11182725429535
linear,10,naive,3,50,1,1,-962.7810921669006
linear,10,naive,3,50,2,25,-106.11182725429535
linear,10,naive,3,50,3,50,-602.979255348444
linear,10,naive,4,75,1,1,-962.7810921669006
linear,10,naive,4,75,2,25,-106.11182725429535
linear,10,naive,4,75,3,50,-602.0357623398304
linear,10,naive,4,75,4,75,-222.24761040508747
linear,10,naive,5,100,1,1,-962.7810921669006
linear,10,naive,5,100,2,25,-106.11182725429535
linear,10,naive,5,100,3,50,-602.0357623398304
linear,10,naive,5,100,4,75,-222.24761040508747
linear,10,naive,5,100,5,100,-342.0853231102228
linear,10,naive,6,125,1,1,-280.72879472374916
linear,10,naive,6,125,2,25,-164.358591735363
linear,10,naive,6,125,3,50,-394.1891710162163
linear,10,naive,6,125,4,75,-243.03197181224823
linear,10,naive,6,125,5,100,-352.55539132654667
linear,10,naive,6,125,6,125,-211.83561778068542
linear,10,replay,1,1,1,1,-521.3064260482788
linear,10,replay,2,25,1,1,-373.9857532083988
linear,10,replay,2,25,2,25,-114.6143434047699
linear,10,replay,3,50,1,1,-322.3133075237274
linear,10,replay,3,50,2,25,-150.35248571634293
linear,10,replay,3,50,3,50,-321.45535027980804
linear,10,replay,4,75,1,1,-410.18859231472015
linear,10,replay,4,75,2,25,-108.81443017721176
linear,10,replay,4,75,3,50,-317.7563461661339
linear,10,replay,4,75,4,75,-246.20912064611912
linear,10,replay,5,100,1,1,-371.3948039114475
linear,10,replay,5,100,2,25,-117.83237254619598
linear,10,replay,5,100,3,50,-320.84075063467026
linear,10,replay,5,100,4,75,-289.0046451240778
linear,10,replay,5,100,5,100,-266.3770296573639
linear,10,replay,6,125,1,1,-318.83428287506104
linear,10,replay,6,125,2,25,-106.11182725429535
linear,10,replay,6,125,3,50,-321.66730254888535
linear,10,replay,6,125,4,75,-247.19195210933685
linear,10,replay,6,125,5,100,-260.9380073696375
linear,10,replay,6,125,6,125,-262.48608326911926
linear,10,reactive,1,1,1,1,-423.8431103388468
linear,10,reactive,2,25,1,1,-423.8431103388468
linear,10,reactive,2,25,2,25,-434.18704797029477
linear,10,reactive,3,50,1,1,-423.8431103388468
linear,10,reactive,3,50,2,25,-434.18704797029477
linear,10,reactive,3,50,3,50,-491.9237703184287
linear,10,reactive,4,75,1,1,-423.8431103388468
linear,10,reactive,4,75,2,25,-434.18704797029477
linear,10,reactive,4,75,3,50,-491.9237703184287
linear,10,reactive,4,75,4,75,-490.17961324453336
linear,10,reactive,5,100,1,1,-423.8431103388468
linear,10,reactive,5,100,2,25,-434.18704797029477
linear,10,reactive,5,100,3,50,-491.9237703184287
linear,10,reactive,5,100,4,75,-490.17961324453336
linear,10,reactive,5,100,5,100,-499.83730963468537
linear,10,reactive,6,125,1,1,-423.8431103388468
linear,10,reactive,6,125,2,25,-434.18704797029477
linear,10,reactive,6,125,3,50,-491.9237703184287
linear,10,reactive,6,125,4,75,-490.17961324453336
linear,10,reactive,6,125,5,100,-499.83730963468537
linear,10,reactive,6,125,6,125,-287.77653590838116
linear,11,naive,1,1,1,1,-962.7810921669006
linear,11,naive,2,25,1,1,-962.7810921669006
linear,11,naive,2,25,2,25,-106.11182725429535
linear,11,naive,3,50,1,1,-962.7810921669006
linear,11,naive,3,50,2,25,-106.11182725429535
linear,11,naive,3,50,3,50,-598.3993650972843
linear,11,naive,4,75,1,1,-962.7810921669006
linear,11,naive,4,75,2,25,-106.11182725429535
linear,11,naive,4,75,3,50,-602.979255348444
linear,11,naive,4,75,4,75,-222.24761040508747
linear,11,naive,5,100,1,1,-962.7810921669006
linear,11,naive,5,100,2,25,-106.11182725429535
linear,11,naive,5,100,3,50,-602.979255348444
linear,11,naive,5,100,4,75,-222.24761040508747
linear,11,naive,5,100,5,100,-342.0853231102228
linear,11,naive,6,125,1,1,-962.7810921669006
linear,11,naive,6,125,2,25,-106.11182725429535
linear,11,naive,6,125,3,50,-602.979255348444
linear,11,naive,6,125,4,75,-222.24761040508747
linear,11,naive,6,125,5,100,-342.0853231102228
linear,11,naive,6,125,6,125,-491.9416091442108
linear,11,replay,1,1,1,1,-962.7810921669006
linear,11,replay,2,25,1,1,-962.7810921669006
linear,11,replay,2,25,2,25,-106.11182725429535
linear,11,replay,3,50,1,1,-962.7810921669006
linear,11,replay,3,50,2,25,-106.11182725429535
linear,11,replay,3,50,3,50,-600.4823034107685
linear,11,replay,4,75,1,1,-447.69069972634315
linear,11,replay,4,75,2,25,-106.11182725429535
linear,11,replay,4,75,3,50,-425.27352476119995
linear,11,replay,4,75,4,75,-222.24761040508747
linear,11,replay,5,100,1,1,-412.0303715765476
linear,11,replay,5,100,2,25,-106.11182725429535
linear,11,replay,5,100,3,50,-607.8713661134243
linear,11,replay,5,100,4,75,-222.24761040508747
linear,11,replay,5,100,5,100,-332.9352648407221
linear,11,replay,6,125,1,1,-387.6924715042114
linear,11,replay,6,125,2,25,-106.11182725429535
linear,11,replay,6,125,3,50,-379.23362880945206
linear,11,replay,6,125,4,75,-222.24761040508747
linear,11,replay,6,125,5,100,-280.23056353628635
linear,11,replay,6,125,6,125,-343.1865725517273
linear,11,reactive,1,1,1,1,-423.8431103388468
