timestamp,demand,aggregate_cpu,max_cpu,mean_cpu,active_vm_count,spike_any,mapping_variant,scale_factor,alpha,boundary_gap_filled,capacity_per_task
503100,0.86050326,1.7790792,0.5529867,0.055596225,32,0,linear,0.4836790020970991,2.0,False,1.0
503400,0.8201107,1.6955681,0.5226456,0.052986503,32,0,linear,0.4836790020970991,2.0,False,1.0
503700,0.8971631,1.854873,0.5486036,0.05796478,32,0,linear,0.4836790020970991,2.0,False,1.0
504000,0.8729307,1.8047729,0.5687695,0.05639915,32,0,linear,0.4836790020970991,2.0,False,1.0
504300,0.86494285,1.7882581,0.5496115,0.055883065,32,0,linear,0.4836790020970991,2.0,False,1.0
504600,0.81607044,1.687215,0.38318443,0.052725468,32,0,linear,0.4836790020970991,2.0,False,1.0
504900,0.8216106,1.6986692,0.5502225,0.053083412,32,0,linear,0.4836790020970991,2.0,False,1.0
505200,0.76077545,1.5728933,0.41474178,0.049152914,32,0,linear,0.4836790020970991,2.0,False,1.0
505500,0.95541763,1.9753134,0.50599146,0.061728545,32,0,linear,0.4836790020970991,2.0,False,1.0
505800,0.96289194,1.9907665,0.5723053,0.062211454,32,0,linear,0.4836790020970991,2.0,False,1.0
506100,0.8410862,1.7389348,0.526668,0.05434171,32,0,linear,0.4836790020970991,2.0,False,1.0
506400,0.89585,1.8521582,0.5489979,0.057879943,32,0,linear,0.4836790020970991,2.0,False,1.0
506700,0.92018867,1.902478,0.5079827,0.059452437,32,0,linear,0.4836790020970991,2.0,False,1.0
507000,0.9442299,1.952183,0.469363,0.06100572,32,0,linear,0.4836790020970991,2.0,False,1.0
507300,1.0161853,2.1009498,0.6040629,0.06565468,32,0,linear,0.4836790020970991,2.0,False,1.0
507600,0.80393803,1.6621313,0.43453217,0.051941603,32,0,linear,0.4836790020970991,2.0,False,1.0
507900,0.85464406,1.7669654,0.611168,0.05521767,32,0,linear,0.4836790020970991,2.0,False,1.0
508200,0.86951303,1.7977068,0.5219935,0.05617834,32,0,linear,0.4836790020970991,2.0,False,1.0
508500,0.8307324,1.7175283,0.443016,0.05367276,32,0,linear,0.4836790020970991,2.0,False,1.0
508800,1.0094097,2.0869412,0.6559188,0.065216914,32,0,linear,0.4836790020970991,2.0,False,1.0
509100,0.9459192,1.9556756,0.4582181,0.061114863,32,0,linear,0.4836790020970991,2.0,False,1.0
509400,0.8840243,1.8277087,0.5524127,0.057115898,32,0,linear,0.4836790020970991,2.0,False,1.0
509700,0.9835076,2.033389,0.59231734,0.06354341,32,0,linear,0.4836790020970991,2.0,False,1.0
510000,0.798669,1.6512377,0.4607016,0.05160118,32,0,linear,0.4836790020970991,2.0,False,1.0
